name,position,company,description,session_title,date,time,location,company_type,company_size,company_hq_address,company_hq_country,company_international
Adrien Nussenbaum,"Co-founder & Co-CEO,",Mirakl,"Four years later, both Adrien and Philippe left FNAC to found Mirakl in 2012 and become the first marketplace platform leading the platform revolution. Since then, Mirakl has grown to help over 300 customers launch and scale an online marketplace in more than 40 countries around the world. The company's latest $555M Series E fundraising values the company over $3.5B and places it among the most dynamic players in eCommerce, globally",Don’t Leave Money on the Table: Turn your Commerce Business into a Retail Media Profit Engine,13 May 2025,12:10 - 12:50,Track 2,Technology,500-1000 employees,"83 Avenue de la Grande Armée, 75116 Paris, France",France,Yes
Adwaita Nayar,"Co-founder and CEO,",Nykaa Fashion,"Adwaita Nayar is the CEO of Nykaa Fashion & the co-founder of Nykaa. Over the decade at Nykaa, she has held multiple roles within the Nykaa ecosystem. In the early years, she was the COO of the beauty business, where she drove marketing, operations and product. Later, in 2017, she moved on to lead the foray into physical retail, where she launched 30 stores over 1.5 years across two formats. Another milestone in her journey of serial entrepreneurship at Nykaa was founding Nykaa Fashion in 2019. Adwaita is currently the CEO of Nykaa Fashion, where she spearheads the multi-brand retail business, as well as a vast assortment of owned brands including Nyri, NYKD, Likha, MIXT, Azai, Kica, 20Dresses, Pipa Bella and more.",How to Build for your Community,13 May 2025,11:30 - 12:10,Track 1,E-commerce,200-500 employees,"104 Vasan Udyog Bhavan, Sun Mill Compound, Lower Parel, Mumbai, Maharashtra 400013, India",India,No
Akash Gupta,"Co-Founder and CEO ,",GreyOrange,"While still a student at Birla Institute of Tech and Science, a top-5 college in India, Akash teamed up with fellow student Samay Kohli to begin winning global robotic competitions and the success led them to found GreyOrange. He proceeded to build an R&D engine able to unite multiple software and robotic technologies to transform the fulfillment operations of companies around the world. Akash has led mentoring sessions and workshops at more than 25 educational institutions globally, including Stanford University, Louisiana University, MIT, IITs, and IIIT. Akash was named to MIT Technology Review’s global list of “35 Innovators under 35,” has designed and implemented an active underwater Sonar Stabilization System at the University of Louisiana and served on the Chief Organizing Committee of RoboCup 2011-2012.",Where AI Meets the Aisle – Because Every Shopper Deserves a Personal Touch,13 May 2025,12:50 - 13:50,50 Crystal Palace Suite,Technology,1001-5000 employees,"Building 1, 1st Floor, 14th Main Rd, Sector 7, HSR Layout, Bengaluru, Karnataka 560102, India",India,Yes
Alex Genov,"Customer Research Leader,","Author, “Forget the Customer, See the Person”","I use my deep knowledge in Social Psychology and Behavioral Science and years of industry experience to explain and predict consumer and customer behavior. That human element is more needed now in the age of AI than ever.  In my professional life, I am driven by my passion for understanding and improving customer experiences. In that quest, I apply my Psychology background to solve business problems and enhance people's lives. I am committed to mentoring teams, fostering innovation, and exploring new methods to boost customer satisfaction and business performance.

I am also a Customer Research professional with a proven track record in CX and UX research, Usability, Market Segmentation, Voice of the Customer (VOC) and User Experience Design. I have been applying my deep knowledge of Experimental Social Psychology to tackle business challenges, leading initiatives that drive significant ROI and enhance customer satisfaction with roles at renowned companies like Zappos, Intuit (Amazon), and State Farm Insurance.",Humanizing Retail - Understanding the Holistic Customer 14-May-2025 11:30 – 12:10 Track 3 Interactive Debate: Humanising Retail: Putting people back into data,14 May 2025,16:00 - 17:30,Track 3,Not available,Not available,Not available,Not available,Not available
Allyson Zimmerman,"CEO,",LEAD Network Europe,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Why are some trying to exclude Diversity and Inclusion?,14 May 2025,15:00 - 15:20,Track 1,Non-profit Organization,Not available,Not available,Netherlands,Yes
Amit Chitnis,"Chief Commercial Officer,",Ocado Retail,"Amit Chitnis joined Ocado Retail in December 2023 as Chief Commercial Officer, leading the transformation of its buying and commercial strategy. Focused on delivering Unbeatable Choice, Unrivalled Service, and Reassuringly Good Value, Amit has been working to strengthen Ocado’s supplier relationships and internal culture, helping the business achieve record-breaking growth in 2024.",How to unlock growth through better supplier partnerships,14 May 2025,12:10 - 12:30,Track 3,Retail,Not available,"Buildings One & Two, Trident Place, Mosquito Way, Hatfield, Hertfordshire, AL10 9UL",United Kingdom,No
Amit Sarda,"Managing Director,",Soulflower India,"Mr. Sarda focused on consumer experience, Sustainability and Inclusivity at a time when it was not talked about in the Board Room meetings. He made products which were pure, natural, vegan, cruelty free and preservative free before most Indian brands entered this space which is now the fastest growing segment in the FMCG category. Mr. Sarda focuses on delighting the customer at every touchpoint and this is the first message every employee gets while joining the organization. He has ideated many innovative activities like ‘Make your own Aroma’ where a customer can make his own signature aroma and it instantly became a hit and connected with the consumer. It is through this constant endeavor of delighting the customer under his leadership that the company bagged 3 prestigious Abby awards last year and got recognized as India’s most Promising Brand of 2018 by Economic Times.",Quick Commerce,13 May 2025,12:10 - 12:30,Track 1,Personal Care & Beauty Products,51-200 employees,"Mumbai, Maharashtra, India",India,No
Andrew Gossage,"CEO,",Ultimate Products,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.","Driving Growth in PE, VC or PLCs",13 May 2025,14:00 - 14:40,Track 2,Consumer Goods,200-500 employees,"Manor Mill, Victoria Street, Chadderton, Oldham, OL9 0DD, United Kingdom",United Kingdom,Yes
Anja Madsen,"COO,",Pets at Home,"Anja joined Pets at Home in 2024 with extensive retail experience in both the UK and Denmark, having held prominent positions at Tesco and Sainsbury’s, and most recently serving as CEO of føtex, a premier supermarket chain in Denmark. Over the course of the last 15 years, Anja has successfully led across all parts of retail operations including commercial, strategy, transformation, supply chain and operational management. Prior to this, Anja was a marketing leader at Johnson & Johnson in Europe and the Middle East following four years as a strategy consultant across a range of industries.",Why Inclusive Leadership Matters More Than Ever,14 May 2025,11:30 - 12:10,Track 1,Retail,"10,000+ employees","Epsom Ave, Stanley Green, Handforth, Wilmslow SK9 3RN, United Kingdom",United Kingdom,No
Arja Taaveniku,"CEO, Home Centre,",Landmark Retail,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Not available,12th - 14th May 2025,Not available,Not available,Retail,"55,000 employees","Oasis Centre, 3rd Floor, Sheikh Zayed Road, Al Quoz, Dubai",United Arab Emirates,Yes
